company_name,high,low,last_price,prev_close,change,percent_gain
Zee Entertain,120.22,116.70,118.71,118.60,0.11,0.09
Bharat Dynamics,"1,633.00","1,591.60","1,623.10","1,621.80",1.30,0.08
Bharat Dynamics,"1,633.00","1,591.60","1,623.10","1,621.80",1.30,0.08
ZFCVINDIA,"13,383.00","13,050.00","13,251.00","13,241.00",10.00,0.08
Sonata,409.95,399.15,408.25,408.00,0.25,0.06
Campus Active,277.40,268.05,273.35,273.25,0.10,0.04
Britannia,"5,655.00","5,572.00","5,626.00","5,624.50",1.50,0.03
Engineers India,219.14,213.81,216.54,216.48,0.06,0.03
Solar Ind,"14,551.00","14,360.00","14,471.00","14,467.00",4.00,0.03
CG Power ,661.55,645.50,659.05,658.95,0.10,0.02
Karur Vysya,261.25,254.60,260.05,260.00,0.05,0.02
